Strategy,Parameter,Per_Stock_MSE,Global_MSE,Down_%,Neutral_%,Up_%
Dynamic_Vol20,1.3000000000000005,0.11454037019212793,0.11438951767486877,8.910776507818943,81.16057451142122,9.928648980759842
Dynamic_Vol20,1.3500000000000005,0.12082157540468696,0.12069230199602331,8.324566128570707,82.46155756055684,9.213876310872456
Dynamic_ATR,0.9000000000000002,0.12163958980115427,0.12081816738308508,8.299316578854343,82.4870175231875,9.213665897958153
Dynamic_Vol20,1.4000000000000006,0.12688087473990203,0.12677960297610505,7.774125944753985,83.6860555153433,8.539818539902704
Dynamic_ATR,0.9500000000000003,0.13086435351050468,0.13017023852207676,7.469132425471746,84.3552737892841,8.175593785244164
Dynamic_Vol20,1.4500000000000006,0.13259725181786908,0.13252742549152502,7.267662060026596,84.81544683286482,7.916891107108589
Dynamic_ATR,1.0000000000000004,0.13956795377449202,0.13897904335179384,6.70375544969448,86.05414765936675,7.242096890938778
Dynamic_ATR,1.0500000000000003,0.14756314361488965,0.14708329218900634,6.013916710152002,87.56996229400575,6.416120995842241
Dynamic_ATR,1.1000000000000005,0.15486478021819952,0.15448668595645354,5.409084787987947,88.91849866177387,5.672416550238188
Dynamic_ATR,1.1500000000000004,0.1614321831929699,0.16117611361648562,4.865903849714679,90.10933055027185,5.024765600013467
Dynamic_ATR,1.2000000000000004,0.16734537912631572,0.16722564562617626,4.375957378760079,91.16507734778729,4.458965273452623
Dynamic_ATR,1.2500000000000004,0.1727937209111411,0.1726948813393112,3.95081808541081,92.10320332620735,3.9459785883818403
Dynamic_ATR,1.3000000000000005,0.17759756939113247,0.17755072709847794,3.57417896880839,92.923708485532,3.5021125456596023
Dynamic_ATR,1.3500000000000005,0.1819380742549762,0.18197096406255117,3.2318371572373628,93.66089013079267,3.10727271196997
Dynamic_ATR,1.4000000000000006,0.18578891630625946,0.18586773838914664,2.9230562054976685,94.30338596461696,2.773557829885367
Dynamic_ATR,1.4500000000000006,0.18921577777359866,0.18938019544658524,2.649940242732338,94.87676115609271,2.4732986011749456
