Strategy,Parameter,Down_%,Neutral_%,Up_%,MSE
Dynamic_Vol20,0.15000000000000002,40.24189068628276,14.764674196643494,44.993435117073744,0.017616041348025097
Dynamic_ATR,0.1,40.55456427693706,14.132488595620044,45.3129471274429,0.01881099205462174
Dynamic_Vol20,0.6500000000000001,21.709562846129245,53.347143434275424,24.94329371959533,0.02020191332719538
Fixed,0.002,41.06997071052233,13.277370511892538,45.65265877758513,0.020462099400084102
Dynamic_ATR,0.45000000000000007,21.46516824616628,53.83572222128705,24.69910953254667,0.02119170377637367
Fixed,0.011,21.483684582624942,54.614565623579715,23.901749793795343,0.022741993045662472
Dynamic_Vol20,0.7000000000000002,20.312526301614287,56.3265903008063,23.36088339757941,0.026589367981687557
Dynamic_Vol20,0.1,42.54307152355783,10.12990893329069,47.32701954315148,0.027301381171994283
Fixed,0.012,19.998169407645563,57.821574056929315,22.18025653542512,0.030063055090726255
Dynamic_ATR,0.5000000000000001,19.438891881428113,58.18821856010234,22.37288955846954,0.031031738354607763
Dynamic_Vol20,0.7500000000000002,18.990712373962666,59.16179911458246,21.84748851145488,0.033491501728986926
Fixed,0.001,44.0489967512246,7.16855757738987,48.782445671385524,0.03460320016260321
Fixed,0.013000000000000001,18.634167690676183,60.8010209234602,20.564811385863617,0.03778581616206993
Dynamic_Vol20,0.8000000000000002,17.76253219317589,61.82615264194455,20.41131516487956,0.040708971794844874
Dynamic_ATR,0.5500000000000002,17.55748480818759,62.26665207803794,20.17586311377447,0.04197111176165322
Fixed,0.014000000000000002,17.360643526857107,63.535021125456595,19.1043353476863,0.04565777162741147
Dynamic_Vol20,0.8500000000000002,16.586429208679114,64.34995034255222,19.063620448768663,0.048203801142161266
Dynamic_ATR,0.6000000000000002,15.840199808103423,66.00989782348881,18.149902368407762,0.05347680544258245
Fixed,0.015,16.178964600131298,66.08522564680929,17.735809753059403,0.053674718619512896
Dynamic_Vol20,0.9000000000000002,15.48723214436009,66.75328664972142,17.759481205918494,0.05593071591344048
Fixed,0.016,15.089446529870218,68.43196088003097,16.47859259009881,0.06162784489603426
Dynamic_Vol20,0.9500000000000003,14.466203477704648,68.97808759910448,16.55570892319087,0.06360019255013914
Dynamic_ATR,0.6500000000000001,14.2441126466578,69.44225848805696,16.313628865285235,0.06526410541445767
Fixed,0.017,14.049691113841803,70.62751443432592,15.322794451832275,0.06956981040150169
Dynamic_Vol20,1.0000000000000004,13.509035130540173,71.05759843116131,15.433366438298519,0.07121772637492707
Dynamic_ATR,0.7000000000000002,12.802152944939149,72.58719511168718,14.610651943373675,0.07709779436949442
Fixed,0.018000000000000002,13.104200683421146,72.64253370814887,14.253265608429983,0.077282667542068
Dynamic_Vol20,1.0500000000000003,12.610992812294846,73.01254481795074,14.376462369754407,0.07877393924802166
Fixed,0.019000000000000003,12.240560876664366,74.4859612503577,13.273477872977931,0.08469472118254055
Dynamic_Vol20,1.1000000000000005,11.757558031881764,74.88532496170485,13.357117006413386,0.08637104356276289
Dynamic_ATR,0.7500000000000002,11.503484437860859,75.44449728146515,13.052018280673995,0.08870747240436079
Fixed,0.02,11.433837763226556,76.1984067534129,12.367755483360547,0.09188526267057356
Dynamic_Vol20,1.1500000000000004,10.960724325416196,76.62333563384787,12.41594004073594,0.09373650917189624
Dynamic_ATR,0.8000000000000002,10.308654703991111,78.0405718181359,11.650773477872978,0.09996688002690406
Dynamic_Vol20,1.2000000000000004,10.231643577356204,78.23962243506656,11.528733987577223,0.1008567807699604
Dynamic_Vol20,1.2500000000000004,9.545802683185483,79.75575268907704,10.698444627737471,0.1077741939995654
Dynamic_ATR,0.8500000000000002,9.24333411887488,80.39004241924353,10.366623461881597,0.11073772314893433
Dynamic_Vol20,1.3000000000000005,8.910881714276094,81.16046930496407,9.928648980759842,0.11438901093258814
Dynamic_Vol20,1.3500000000000005,8.324671335027858,82.46155756055684,9.213771104415304,0.12069229575934963
